break_value,accel_value,speed,timestamp
0.0,0.0,0.0,2024-04-12 07:20:46.896574+00:00
0.0,0.0,0.0,2024-04-12 07:20:47.932677+00:00
0.0,0.0,0.0,2024-04-12 07:20:48.839709+00:00
0.0,0.0,0.0,2024-04-12 07:20:49.983170+00:00
687.0,0.0,0.0,2024-04-12 07:20:50.802138+00:00
482.0,0.0,0.0,2024-04-12 07:20:51.942946+00:00
816.0,0.0,0.0,2024-04-12 07:20:52.987378+00:00
683.0,0.0,0.0,2024-04-12 07:20:53.877037+00:00
336.0,0.0,1.0,2024-04-12 07:20:55.011881+00:00
552.0,0.0,1.0,2024-04-12 07:20:55.849101+00:00
268.0,0.0,1.0,2024-04-12 07:20:56.948864+00:00
0.0,0.0,1.0,2024-04-12 07:20:57.970767+00:00
321.0,0.0,1.0,2024-04-12 07:20:58.998654+00:00
496.0,0.0,4.0,2024-04-12 07:20:59.816342+00:00
182.0,0.0,4.0,2024-04-12 07:21:00.836690+00:00
460.0,0.0,4.0,2024-04-12 07:21:01.864747+00:00
315.0,0.0,4.0,2024-04-12 07:21:02.790667+00:00
0.0,0.0,4.0,2024-04-12 07:21:03.812223+00:00
268.0,0.0,1.0,2024-04-12 07:21:04.939276+00:00
240.0,0.0,1.0,2024-04-12 07:21:05.956881+00:00
108.0,0.0,1.0,2024-04-12 07:21:07.034194+00:00
249.0,0.0,1.0,2024-04-12 07:21:07.807519+00:00
0.0,0.0,1.0,2024-04-12 07:21:08.836570+00:00
0.0,0.0,3.0,2024-04-12 07:21:09.847238+00:00
0.0,0.0,3.0,2024-04-12 07:21:10.880285+00:00
0.0,0.0,3.0,2024-04-12 07:21:11.905204+00:00
0.0,0.0,3.0,2024-04-12 07:21:12.797810+00:00
0.0,0.0,3.0,2024-04-12 07:21:13.847258+00:00
0.0,0.0,5.0,2024-04-12 07:21:14.786958+00:00
0.0,0.0,5.0,2024-04-12 07:21:15.994420+00:00
0.0,0.0,5.0,2024-04-12 07:21:16.810564+00:00
0.0,0.0,5.0,2024-04-12 07:21:17.835673+00:00
0.0,0.0,5.0,2024-04-12 07:21:18.857427+00:00
