accel_value,speed,timestamp
0,36,2024-04-12 07:28:03.701426+00:00
141,33,2024-04-12 07:28:04.063157+00:00
145,33,2024-04-12 07:28:05.082944+00:00
45,36,2024-04-12 07:28:05.643850+00:00
32,36,2024-04-12 07:28:05.644737+00:00
152,30,2024-04-12 07:28:06.001793+00:00
156,29,2024-04-12 07:28:06.970927+00:00
153,29,2024-04-12 07:28:08.050407+00:00
111,29,2024-04-12 07:28:09.184743+00:00
126,31,2024-04-12 07:28:09.996667+00:00
0,31,2024-04-12 07:28:11.033220+00:00
158,32,2024-04-12 07:28:12.048694+00:00
0,32,2024-04-12 07:28:13.069689+00:00
90,32,2024-04-12 07:28:14.094805+00:00
0,32,2024-04-12 07:28:15.116519+00:00
45,32,2024-04-12 07:28:16.145784+00:00
0,32,2024-04-12 07:28:17.067903+00:00
135,30,2024-04-12 07:28:17.985405+00:00
135,29,2024-04-12 07:28:19.008007+00:00
0,29,2024-04-12 07:28:20.027725+00:00
129,28,2024-04-12 07:28:21.055674+00:00
146,29,2024-04-12 07:28:22.100049+00:00
131,29,2024-04-12 07:28:23.101768+00:00
128,33,2024-04-12 07:28:24.061254+00:00
80,37,2024-04-12 07:28:25.151242+00:00
86,37,2024-04-12 07:28:26.184358+00:00
136,43,2024-04-12 07:28:27.006137+00:00
102,47,2024-04-12 07:28:28.021025+00:00
117,47,2024-04-12 07:28:29.056683+00:00
75,50,2024-04-12 07:28:30.076733+00:00
63,51,2024-04-12 07:28:31.093732+00:00
25,51,2024-04-12 07:28:32.115382+00:00
145,52,2024-04-12 07:28:33.147465+00:00
0,52,2024-04-12 07:28:34.164131+00:00
0,52,2024-04-12 07:28:35.089751+00:00
0,53,2024-04-12 07:28:36.006571+00:00
144,53,2024-04-12 07:28:37.031227+00:00
167,53,2024-04-12 07:28:38.052427+00:00
0,52,2024-04-12 07:28:39.082820+00:00
0,50,2024-04-12 07:28:40.105912+00:00
0,50,2024-04-12 07:28:41.131445+00:00
0,48,2024-04-12 07:28:42.145080+00:00
0,46,2024-04-12 07:28:43.075784+00:00
