break_value,speed,timestamp
486,0,2024-04-12 07:41:18.401252+00:00
619,0,2024-04-12 07:41:19.280426+00:00
625,3,2024-04-12 07:41:20.403850+00:00
466,4,2024-04-12 07:41:21.408307+00:00
439,5,2024-04-12 07:41:22.348290+00:00
553,5,2024-04-12 07:41:23.273977+00:00
639,4,2024-04-12 07:41:24.262789+00:00
413,3,2024-04-12 07:41:25.305821+00:00
515,2,2024-04-12 07:41:26.345866+00:00
548,2,2024-04-12 07:41:27.368922+00:00
612,2,2024-04-12 07:41:28.287370+00:00
447,2,2024-04-12 07:41:29.417293+00:00
560,2,2024-04-12 07:41:30.234648+00:00
625,1,2024-04-12 07:41:31.265995+00:00
574,1,2024-04-12 07:41:32.294368+00:00
695,1,2024-04-12 07:41:33.306587+00:00
464,1,2024-04-12 07:41:34.532098+00:00
601,1,2024-04-12 07:41:35.799947+00:00
368,1,2024-04-12 07:41:36.387901+00:00
526,1,2024-04-12 07:41:37.299460+00:00
583,1,2024-04-12 07:41:38.321637+00:00
294,1,2024-04-12 07:41:39.241740+00:00
366,1,2024-04-12 07:41:40.231250+00:00
486,1,2024-04-12 07:41:41.391908+00:00
558,1,2024-04-12 07:41:42.420213+00:00
528,1,2024-04-12 07:41:43.447045+00:00
361,1,2024-04-12 07:41:44.231229+00:00
418,1,2024-04-12 07:41:45.289676+00:00
569,1,2024-04-12 07:41:46.309235+00:00
499,1,2024-04-12 07:41:47.335168+00:00
614,2,2024-04-12 07:41:48.305277+00:00
701,3,2024-04-12 07:41:49.383504+00:00
609,3,2024-04-12 07:41:50.299873+00:00
481,3,2024-04-12 07:41:51.441557+00:00
486,3,2024-04-12 07:41:52.246396+00:00
486,3,2024-04-12 07:41:53.287126+00:00
689,3,2024-04-12 07:41:54.289035+00:00
443,3,2024-04-12 07:41:55.319796+00:00
480,3,2024-04-12 07:41:56.446338+00:00
608,3,2024-04-12 07:41:57.367803+00:00
560,3,2024-04-12 07:41:58.393731+00:00
448,3,2024-04-12 07:41:59.314990+00:00
567,2,2024-04-12 07:42:00.334335+00:00
591,2,2024-04-12 07:42:01.367123+00:00
527,2,2024-04-12 07:42:02.399041+00:00
330,2,2024-04-12 07:42:03.227770+00:00
320,2,2024-04-12 07:42:04.239440+00:00
331,2,2024-04-12 07:42:05.365086+00:00
286,2,2024-04-12 07:42:06.275162+00:00
258,2,2024-04-12 07:42:07.295391+00:00
247,3,2024-04-12 07:42:08.429807+00:00
246,5,2024-04-12 07:42:09.243823+00:00
229,5,2024-04-12 07:42:10.272213+00:00
271,7,2024-04-12 07:42:11.231205+00:00
237,9,2024-04-12 07:42:12.316912+00:00
240,9,2024-04-12 07:42:13.347806+00:00
237,13,2024-04-12 07:42:14.364625+00:00
230,17,2024-04-12 07:42:15.231314+00:00
187,17,2024-04-12 07:42:16.331303+00:00
91,20,2024-04-12 07:42:17.455577+00:00
86,26,2024-04-12 07:42:18.258185+00:00
122,26,2024-04-12 07:42:19.281493+00:00
571,32,2024-04-12 07:42:20.306625+00:00
362,34,2024-04-12 07:42:21.329043+00:00
387,34,2024-04-12 07:42:22.582121+00:00
273,34,2024-04-12 07:42:23.493816+00:00
0,33,2024-04-12 07:42:24.512495+00:00
586,33,2024-04-12 07:42:25.428360+00:00
551,31,2024-04-12 07:42:26.345184+00:00
80,28,2024-04-12 07:42:27.270204+00:00
528,28,2024-04-12 07:42:28.289723+00:00
560,23,2024-04-12 07:42:29.407624+00:00
64,17,2024-04-12 07:42:30.457123+00:00
500,17,2024-04-12 07:42:31.271739+00:00
454,13,2024-04-12 07:42:32.287865+00:00
66,9,2024-04-12 07:42:33.308586+00:00
624,9,2024-04-12 07:42:34.333749+00:00
586,7,2024-04-12 07:42:35.359022+00:00
693,5,2024-04-12 07:42:36.383825+00:00
558,5,2024-04-12 07:42:37.228238+00:00
507,4,2024-04-12 07:42:38.432332+00:00
555,3,2024-04-12 07:42:40.297219+00:00
731,3,2024-04-12 07:42:40.781463+00:00
503,2,2024-04-12 07:42:41.299920+00:00
591,2,2024-04-12 07:42:42.431931+00:00
205,2,2024-04-12 07:42:43.479199+00:00
208,1,2024-04-12 07:42:44.231224+00:00
558,2,2024-04-12 07:42:45.291118+00:00
201,2,2024-04-12 07:42:46.314291+00:00
206,7,2024-04-12 07:42:47.340105+00:00
482,12,2024-04-12 07:42:48.264464+00:00
160,12,2024-04-12 07:42:49.287155+00:00
175,15,2024-04-12 07:42:50.308800+00:00
0,17,2024-04-12 07:42:51.330386+00:00
598,17,2024-04-12 07:42:52.243850+00:00
437,16,2024-04-12 07:42:53.384954+00:00
87,14,2024-04-12 07:42:54.398159+00:00
583,14,2024-04-12 07:42:55.422578+00:00
657,10,2024-04-12 07:42:56.248456+00:00
147,7,2024-04-12 07:42:57.269815+00:00
633,7,2024-04-12 07:42:58.296729+00:00
543,5,2024-04-12 07:42:59.322454+00:00
