brake_value,accel_value,speed,Date
0,335,0,2024-05-10 07:27:34.730321+00:00
6,374,0,2024-05-10 07:27:35.768378+00:00
0,345,0,2024-05-10 07:27:36.788696+00:00
0,256,2,2024-05-10 07:27:37.809518+00:00
0,371,7,2024-05-10 07:27:38.772035+00:00
0,311,7,2024-05-10 07:27:39.855887+00:00
0,0,11,2024-05-10 07:27:40.877189+00:00
8,0,13,2024-05-10 07:27:41.909934+00:00
0,289,13,2024-05-10 07:27:42.717688+00:00
17,231,15,2024-05-10 07:27:43.746533+00:00
18,0,16,2024-05-10 07:27:44.767391+00:00
29,496,16,2024-05-10 07:27:45.791498+00:00
27,0,18,2024-05-10 07:27:46.819286+00:00
24,0,22,2024-05-10 07:27:47.838007+00:00
388,0,22,2024-05-10 07:27:48.863007+00:00
404,0,24,2024-05-10 07:27:49.876460+00:00
397,0,25,2024-05-10 07:27:50.921189+00:00
400,0,25,2024-05-10 07:27:51.733236+00:00
383,0,22,2024-05-10 07:27:52.800981+00:00
395,0,15,2024-05-10 07:27:53.825100+00:00
358,0,15,2024-05-10 07:27:54.800183+00:00
368,0,8,2024-05-10 07:27:55.827280+00:00
19,0,5,2024-05-10 07:27:56.850132+00:00
0,113,5,2024-05-10 07:27:57.706691+00:00
368,0,4,2024-05-10 07:27:58.795136+00:00
277,0,4,2024-05-10 07:28:00.028402+00:00
23,0,3,2024-05-10 07:28:00.745193+00:00
0,17,3,2024-05-10 07:28:01.766785+00:00
35,285,3,2024-05-10 07:28:02.793972+00:00
68,267,4,2024-05-10 07:28:03.715423+00:00
64,192,4,2024-05-10 07:28:04.736450+00:00
55,0,5,2024-05-10 07:28:05.759350+00:00
48,255,5,2024-05-10 07:28:06.790755+00:00
54,199,5,2024-05-10 07:28:07.813843+00:00
64,237,14,2024-05-10 07:28:08.831339+00:00
65,272,19,2024-05-10 07:28:09.854878+00:00
62,288,19,2024-05-10 07:28:10.882673+00:00
65,0,19,2024-05-10 07:28:11.922368+00:00
55,304,31,2024-05-10 07:28:12.723624+00:00
397,0,35,2024-05-10 07:28:13.746854+00:00
406,0,35,2024-05-10 07:28:14.769131+00:00
417,0,35,2024-05-10 07:28:15.797000+00:00
169,0,26,2024-05-10 07:28:16.922809+00:00
353,0,26,2024-05-10 07:28:17.847983+00:00
48,0,20,2024-05-10 07:28:18.805986+00:00
56,238,14,2024-05-10 07:28:19.833217+00:00
0,51,14,2024-05-10 07:28:21.026952+00:00
49,272,12,2024-05-10 07:28:21.738096+00:00
55,143,13,2024-05-10 07:28:22.754531+00:00
51,0,13,2024-05-10 07:28:23.778640+00:00
100,0,17,2024-05-10 07:28:24.806592+00:00
58,0,22,2024-05-10 07:28:25.931374+00:00
55,0,22,2024-05-10 07:28:26.854436+00:00
50,0,25,2024-05-10 07:28:27.882253+00:00
61,0,27,2024-05-10 07:28:28.907054+00:00
