break_value,accel_value,speed,timestamp
0.0,0.0,56.0,2024-05-17 07:59:43.566932+00:00
0.0,0.0,0.0,2024-05-17 07:59:43.650846+00:00
0.0,0.0,0.0,2024-05-17 07:59:43.650846+00:00
0.0,0.0,0.0,2024-05-17 07:59:48.250069+00:00
0.0,0.0,62.0,2024-05-17 07:59:49.018672+00:00
371.0,0.0,62.0,2024-05-17 07:59:50.045554+00:00
400.0,0.0,62.0,2024-05-17 07:59:51.066564+00:00
378.0,0.0,61.0,2024-05-17 07:59:52.093911+00:00
383.0,0.0,61.0,2024-05-17 07:59:53.012061+00:00
380.0,0.0,58.0,2024-05-17 07:59:54.042537+00:00
367.0,0.0,50.0,2024-05-17 07:59:55.168798+00:00
407.0,0.0,50.0,2024-05-17 07:59:56.187324+00:00
383.0,0.0,42.0,2024-05-17 07:59:57.005150+00:00
388.0,0.0,31.0,2024-05-17 07:59:58.030602+00:00
379.0,0.0,31.0,2024-05-17 07:59:59.052595+00:00
384.0,0.0,19.0,2024-05-17 07:59:59.993564+00:00
404.0,0.0,13.0,2024-05-17 08:00:01.149058+00:00
372.0,0.0,13.0,2024-05-17 08:00:02.030161+00:00
397.0,0.0,11.0,2024-05-17 08:00:03.255804+00:00
395.0,0.0,6.0,2024-05-17 08:00:03.993004+00:00
382.0,0.0,6.0,2024-05-17 08:00:05.098911+00:00
387.0,0.0,3.0,2024-05-17 08:00:05.997430+00:00
355.0,0.0,2.0,2024-05-17 08:00:07.044386+00:00
383.0,0.0,2.0,2024-05-17 08:00:08.035969+00:00
388.0,0.0,2.0,2024-05-17 08:00:09.090021+00:00
379.0,0.0,1.0,2024-05-17 08:00:09.990592+00:00
383.0,0.0,1.0,2024-05-17 08:00:10.996279+00:00
394.0,0.0,1.0,2024-05-17 08:00:11.994901+00:00
383.0,0.0,1.0,2024-05-17 08:00:13.012561+00:00
383.0,0.0,1.0,2024-05-17 08:00:14.012381+00:00
383.0,0.0,1.0,2024-05-17 08:00:14.997741+00:00
414.0,0.0,1.0,2024-05-17 08:00:15.993995+00:00
368.0,0.0,1.0,2024-05-17 08:00:17.080287+00:00
368.0,0.0,1.0,2024-05-17 08:00:18.114861+00:00
371.0,0.0,0.0,2024-05-17 08:00:19.028369+00:00
381.0,0.0,0.0,2024-05-17 08:00:20.018233+00:00
370.0,0.0,0.0,2024-05-17 08:00:21.072436+00:00
382.0,0.0,0.0,2024-05-17 08:00:22.094325+00:00
347.0,0.0,0.0,2024-05-17 08:00:23.012961+00:00
15.0,0.0,0.0,2024-05-17 08:00:24.039694+00:00
0.0,0.0,0.0,2024-05-17 08:00:24.993543+00:00
0.0,0.0,0.0,2024-05-17 08:00:26.238782+00:00
0.0,0.0,2.0,2024-05-17 08:00:26.996087+00:00
0.0,0.0,11.0,2024-05-17 08:00:28.032624+00:00
0.0,0.0,11.0,2024-05-17 08:00:28.996110+00:00
0.0,0.0,18.0,2024-05-17 08:00:30.001793+00:00
0.0,0.0,24.0,2024-05-17 08:00:31.066028+00:00
0.0,0.0,24.0,2024-05-17 08:00:32.142511+00:00
0.0,0.0,31.0,2024-05-17 08:00:33.166699+00:00
0.0,0.0,35.0,2024-05-17 08:00:33.997248+00:00
0.0,0.0,35.0,2024-05-17 08:00:35.102239+00:00
0.0,0.0,39.0,2024-05-17 08:00:36.133516+00:00
0.0,0.0,42.0,2024-05-17 08:00:37.148521+00:00
0.0,0.0,42.0,2024-05-17 08:00:38.175750+00:00
0.0,76.0,44.0,2024-05-17 08:00:39.196824+00:00
0.0,0.0,46.0,2024-05-17 08:00:40.016805+00:00
0.0,0.0,46.0,2024-05-17 08:00:41.042823+00:00
0.0,0.0,48.0,2024-05-17 08:00:42.064471+00:00
0.0,0.0,48.0,2024-05-17 08:00:43.089183+00:00
0.0,0.0,48.0,2024-05-17 08:00:44.117680+00:00
0.0,0.0,49.0,2024-05-17 08:00:45.155378+00:00
0.0,0.0,49.0,2024-05-17 08:00:46.163565+00:00
0.0,0.0,49.0,2024-05-17 08:00:47.186367+00:00
